"college_pref","average_grade","bad_internet","more_anxiety","quality_learning","quality_teaching","recording_freq","separate_room","study_less","study_more","wellbeing","zoom_anxiety","attendance_freq","hs_ag","hs_country","hs_pref","id","third_year","got_anxiety","lost_anxiety","still_anxiety","no_anxiety","partial_lockdown"
"1","2","1","0","2","2","2","1","0","1","1","0","4","3","Switzerland","0",127,"0",0,1,0,0,"1"
"1","2","0","0","0","0","1","0","1","0","0","0","1","3","Switzerland","0",129,"1",0,0,0,1,"1"
"1","0","0","1","-1","-1","4","1","1","0","-5","0","4","2","Switzerland","0",131,"1",0,0,1,0,"1"
"0",NA,"0","0","0","0","2","0","0","1","0","0","4","2","France","0",133,"0",0,0,0,1,"1"
"0","2","0","1","0","0","4","1","0","0","-3","0","1","3","Switzerland","1",134,"1",0,0,1,0,"1"
"0","1","1","0","2","2","4","1","1","0","3","0","1","2","France","0",135,"0",0,1,0,0,"1"
"1","3","0","0","3","3","3","0","0","1","3","1","2","2","Switzerland","0",136,"0",0,0,0,1,"1"
"1","2","0","1","2","-1","1","0","0","1","-3","0","1","2","Switzerland","0",138,"0",0,0,1,0,"1"
"1","3","0","0","2","2","4","1","0","0","1","0","4","3","France","0",141,"1",0,1,0,0,"1"
"1","2","1","1","4","4","1","1","0","1","2","1","2","2","Switzerland","0",142,"0",0,0,1,0,"1"
"0","1","1","1","-5","-5","4","0","0","1","-5","1","1",NA,"Other","1",144,"0",0,0,1,0,"1"
"1",NA,"1","0","-5","2","2","1","0","1","-1","0","3","1","Switzerland","0",146,"0",0,0,0,1,"1"
"0","2","1","1","-3","-1","1","1","1","0","-2","0","4","3","France","1",151,"1",0,0,1,0,"1"
"1","1","0","0","-2","-1","1","1","1","0","-1","0","3","2","Switzerland","0",153,"1",0,0,0,1,"1"
"0","1","0","0","0","0","4","1","1","0","-1","0","4","2","Switzerland","0",154,"1",0,0,0,1,"1"
